"year","month","day","hour","DALMP","LOAD","WIND","OUTAGES"
2014,1,1,1,28.17,35886.713705,7461.49,8492
2014,1,1,2,25.07,35587.34991,7281.48,8496
2014,1,1,3,24.93,35332.870128,7130.77,8496
2014,1,1,4,24.92,35211.06438,7336.28,8496
2014,1,1,5,25.07,35490.158245,7333.28,8496
2014,1,1,6,27.23,36203.492735,7407.28,8496
2014,1,1,7,36.17,37084.806113,7376.86,8496
2014,1,1,8,38.19,37397.188208,7262.05,8496
2014,1,1,9,40.14,37119.474985,7160.14,8496
2014,1,1,10,34.74,36634.264305,6877.33,8496
2014,1,1,11,30.22,35841.262763,5739.79,7676
2014,1,1,12,27.14,34777.546965,4836.64,7676
2014,1,1,13,25.06,33656.195898,4684.72,7676
2014,1,1,14,25.06,32430.090413,5085.14,7676
2014,1,1,15,24.92,31407.08268,4684.72,7707
2014,1,1,16,24.92,30821.879918,4259.16,7707
2014,1,1,17,25,30773.716393,3680.78,7707
2014,1,1,18,36.14,32201.348998,3094.21,7546
2014,1,1,19,37,34575.778988,3115.45,7546
2014,1,1,20,31.26,34695.479225,5626.1,7511
2014,1,1,21,28.9,34342.060205,7312.46,7511
2014,1,1,22,27.25,33864.17164,7272.19,7511
2014,1,1,23,25.07,33050.660433,7350.73,8114
2014,1,2,0,23.11,31931.087945,7506.69,8083
2014,1,2,1,24.5,31244.362015,7541.2,9288
2014,1,2,2,23.5,31172.024978,7246.84,9319
2014,1,2,3,23.5,31629.997463,7027.72,9499
2014,1,2,4,24.5,32667.439115,6580.31,9499
2014,1,2,5,25.88,34419.16673,6545.57,9499
2014,1,2,6,32.28,37492.230123,6194.05,9499
2014,1,2,7,44.46,41406.09146,6049.86,9499
2014,1,2,8,46.5,44190.02632,6160.98,9499
2014,1,2,9,40,44943.88159,5397.54,9499
2014,1,2,10,35.2,45101.613285,4487.49,9319
2014,1,2,11,31.54,44579.79518,4173.08,9319
2014,1,2,12,28.92,43404.913398,3369.06,9319
2014,1,2,13,27.78,41887.677708,2303.77,9319
2014,1,2,14,27.56,40385.81958,1821.11,9319
2014,1,2,15,27.48,39045.659643,1507.05,9319
2014,1,2,16,26.08,38352.494443,1331.66,9319
2014,1,2,17,26,38442.948495,1165.61,9749
2014,1,2,18,34.29,40529.79429,895.44,9299
2014,1,2,19,44.57,44327.205368,687.09,9318
2014,1,2,20,43.02,45266.509765,783.16,9318
2014,1,2,21,40.81,45578.088863,1227.76,9318
2014,1,2,22,35.35,45054.334275,1874.85,8773
2014,1,2,23,32.13,43682.913948,2699.08,8773
2014,1,3,0,28.15,42121.357425,3692.9,8343
2014,1,3,1,29.75,41099.063403,4909.61,8423
2014,1,3,2,28.14,40705.406,6241.08,8853
2014,1,3,3,28.26,40800.445615,6800.98,8853
2014,1,3,4,28.42,41374.446123,6977.47,8853
2014,1,3,5,30.78,42581.20603,7174.86,8853
2014,1,3,6,40,44973.598528,7575.89,8853
2014,1,3,7,76.75,47996.044103,8078.87,8853
2014,1,3,8,57.86,49845.566143,8290.62,8853
2014,1,3,9,45.31,49176.662388,8368.87,8853
2014,1,3,10,35.44,47204.546103,8039.11,8853
2014,1,3,11,32.25,45192.51757,7404.9,9311
2014,1,3,12,30,42845.930453,7730.83,9311
2014,1,3,13,27.68,40508.540203,7977.45,9311
2014,1,3,14,26,38737.625335,8131.83,9311
2014,1,3,15,25.57,37164.029693,8212.17,9311
2014,1,3,16,24.08,36177.790953,8347.36,9219
2014,1,3,17,25,36065.15921,8494.1,9516
2014,1,3,18,30.53,37796.528523,8490.99,9516
2014,1,3,19,35.83,41124.648473,8412.06,9516
2014,1,3,20,34.82,41682.66731,8598.97,9516
2014,1,3,21,34.56,41866.773238,8850.75,9516
2014,1,3,22,30,41385.982798,8898.54,9908
2014,1,3,23,31.24,40135.84892,9058.98,10328
2014,1,4,0,28.23,38515.3603,9170.57,10328
2014,1,4,1,28.64,37079.316803,9258.67,11158
2014,1,4,2,27.49,36098.412175,9420.71,11156
2014,1,4,3,27,35553.441395,9381.71,11156
2014,1,4,4,25,35382.600493,9400.29,11156
2014,1,4,5,26.24,35559.7562,9005.62,11156
2014,1,4,6,27.06,36321.146055,8669.22,11156
2014,1,4,7,30.29,37569.521558,8419.54,11931
2014,1,4,8,32.1,38439.196905,8220.69,12321
2014,1,4,9,36.74,38608.40251,8137.73,12321
2014,1,4,10,37.12,37914.593713,7809.24,12321
2014,1,4,11,33.74,36614.284885,6597.9,12321
2014,1,4,12,28.74,34971.013933,5878.56,12321
2014,1,4,13,27.69,33502.969448,5827.27,12321
2014,1,4,14,26,32166.711993,6291.45,12108
2014,1,4,15,24.62,31202.125365,6915.54,12108
2014,1,4,16,23.19,30614.533278,6906.09,12108
2014,1,4,17,24,30481.481755,6017.81,12108
2014,1,4,18,32,31656.398305,6232.89,12108
2014,1,4,19,37.23,33837.445938,4742.91,12108
2014,1,4,20,33.76,33772.530163,4324.19,12108
2014,1,4,21,31.54,33321.386323,4648.97,12108
